title,maker,crimeCategory,materials,period,size,units
Mantle Clock,Tiffany,clock-timepiece,Bronze; Marble,Other,16.0,Inches
Reflections,Margaret Keane,paintings,Oil On Canvas,20th century,432.0,Square inches
Alchime Des Philosophies (Alchemy of the Philosophers) Brunette,Salvador Dali,print,Lithograph,Other,660.0,Square inches
Life and Adventures of Black Hawk,B. Drake,books,Printed Paper,19th century,6.299,Inches
Sunrise Over Cook Inlet,Sydney Laurence,paintings,Oil On Canvas,Other,128.0,Square inches
Constitution of Troesmis,Roman,other-assorted,Bronze,1st century,23.622,Inches
Hanna,Sindy Bell,paintings,Oil And Acrylic On Canvas,21st century,720.0,Square inches
A Song for Simeon,Thomas Stearns Eliot,books,Printed Paper,20th century,7.48,Inches
Portrait of Charles Moore,Mischa Askenazy,paintings,Oil On Canvas,Other,1638.0,Square inches
The Trembling of the Veil,William Butler Yeats,books,Printed Paper,20th century,9.055,Inches
Black Cylinder,Dale Chihuly,sculpture,Glass,Other,165.0,Cubic inches
Vase of Flowers in a Niche with Fruit and Mushrooms,Paolo Cattamara,paintings,Oil On Canvas,18th century,1995.0,Square inches
Roman Funerary Stele (Man and Woman),Roman,other-arts-and-antiques,Marble,2nd century,3937.008,Cubic inches
The Years Between Parodies,Rudyard Kiplin,books,Printed Paper,20th century,9.843,Inches
Anatome R VI,Robert Bassler,sculpture,Poly-Aluminum,20th century,111.562,Cubic inches
Fantasia,Charpentier,sculpture,Bronze,Other,550.0,Cubic inches
"Frog Brooch on Jade Lily Pad, Ruby and Diamond",Zadora Limited,other-jewelry,Gold; Ruby; Jade,20th century,,
Hinagiki,Yoshitomo Nara,other-assorted,,21st century,150.591,Square inches
Ballet Mistress,Michael Parkes,print,,20th century,497.312,Square inches
Ange Surrealiste,Salvador Dali,sculpture,Bronze,20th century,,
"Letter ""L"" (Alphabet Series)",Erte,print,Serigraph,20th century,155.0,Square inches
1962 Yankees World Series Ring,,rings,Gold,20th century,,
Man and Woman (Peasant Couple),Dutch,paintings,Oil On Canvas,18th century,166.75,Square inches
Cruz de Bulto de Dos Brazos | Caravaca Cross,Mexico,sculpture,Wood Carved; Gold,18th century,2362.205,Square inches
An Exact Abridgement of All Statutes in Force and Use,Edmund Wingate,books,Printed Paper Book,17th century,7.087,Inches
Maltese Cross,Bijan Bahar,sculpture,Crystal,20th century,90.25,Cubic inches
Bathers,Louis Fabien,paintings,Oil On Canvas,Other,720.0,Square inches
Barovier Spina Platter,Barovier,flatware,Glass,Other,10.0,Inches
"Medium Kingfishers Sculpture, Labradorite, Carnelian, Jade and Agate",Zadora Limited,sculpture,Labradorite; Carnelian; Jade; Gold; Agate,20th century,,
Twilight,Erte,print,Serigraph,20th century,,
Balancing Triangles,Alexander Calder,paintings,Gouache On Paper,20th century,1080.0,Square inches
Coin With Writing Around the Edges on Both Sides,,coins-and-paper-money,,Other,,
Horse and Jockey,Pierre Jules Mene,sculpture,Bronze,Other,12.0,Inches
Monsieur Lemay,Arbit Blatas,paintings,Oil On Canvas,20th century,,
Friendfield,Louis Aston Knight,paintings,Watercolor,Other,180.0,Square inches
Mexican Serape,Mexico,other-textiles,Wool; Cotton,19th century,4692.0,Square inches
Maria Poveka,Maria Martinez,ceramic-tea-coffee-wares,Ceramic Pot,Other,33.0,Square inches
American Bald Eagle,Mike Curtis,sculpture,Bronze,20th century,20.0,Inches
Fringe Cape,Erte,print,Serigraph,20th century,,
The Guitar Player,Jules Zermati,paintings,Oil On Canvas,19th century,402.5,Square inches
Faces in the Hood Series,Tyree Guyton,paintings,Metal; Paint; Automobile; Hood,20th century,2304.0,Square inches
Congreso por la Paz,A. Garcia-Bustos,print,Lithograph,Other,520.0,Square inches
Pre-Columbian Stone Mallet Head,Pre-Columbian,other-arts-and-antiques,Stone,Other,,
Hopi Style #6 - Lunge,Sadie Adams,wine-cooler,Ceramic Pot,Other,44.0,Square inches
Human Face Pendant,Akan,other-jewelry,Gold,Other,11.26,Square inches
Abstract White Onyx Sculpture,Gloria Klar,sculpture,Onyx,20th century,1008.0,Cubic inches
Sacre Coeur (Sacred Heart),Elisee Maclet,paintings,Oil On Canvas,20th century,444.0,Square inches
Stone Carving of a Bird,Inuit,sculpture,Stone,Other,15.0,Square inches
Wilfredo Lam Three Abstract Doodles with Faces,Wilfredo Lam,drawing-watercolour,Ink On Paper,Other,183.75,Square inches
A Classical Landscape with Two Figures,Gaspard Dughet,paintings,Oil On Canvas,16th century,1385.433,Square inches
Children of the Trianon,Michael Kenna,photograph,Photograph,Other,,
Water Wheel,Paul Strand,photograph,,Other,,
Andrea with Crossed Arms on Pedestal,Max Moran,paintings,Oil On Canvas,19th century,1496.0,Square inches
Belcher Engraved Bowl,Caddo Nation,ornamental-ceramic-wares,Ceramic,Other,5.433,Inches
Hon Kachina,Michael Redman,sculpture,Gold; Silver,Other,,
Still Life from College - CCAD,Max Moran,paintings,Oil On Canvas,Other,484.0,Square inches
French Pasture,Leon Barillot,paintings,Oil On Canvas,Other,485.87,Square inches
Tiffany Stained Glass Window with Blue Tree,Tiffany,other-arts-and-antiques,Stained Glass,20th century,1644.625,Square inches
Santa Clara Rain Dancer,Michael Naranjo,sculpture,Bronze,Other,22.0,Inches
Stone Carving of Three Eskimos,Inuit,sculpture,Stone,Other,10.5,Inches
"Vlaicu Ionescu, Still Life, Flowers, Mortar, Fruit",Vlaicu Ionescu,paintings,Oil On Canvas,20th century,,
Spanish Colonial Crown,Spanish Colonial,other-arts-and-antiques,Silver,20th century,,
Montmarte,Elisee Maclet,paintings,Oil On Canvas,20th century,444.125,Square inches
Umbrellas,Gary Ratushiniak,print,Color Linocut,20th century,,
St. Claude,Gaspar de Crayer,paintings,Oil On Copper,Other,43.0,Square inches
Circus,Marc Chagall,print,Lithograph,Other,319.0,Square inches
Peonies and Lace,Adolf Sehring,paintings,Oil On Canvas,20th century,480.0,Square inches
Figuras Griegas,Greek,sculpture,Terracotta,Other,,
Christinia,David Anderson; Swedish,metal-flatware,Silver Enamel,19th century,,
Faustus,,paintings,Oil On Porcelain,Other,,
"""Pale Swan""",Michael Parkes,print,9-Color Stone Print Lithograph On Heavy Paper,20th century,425.0,Square inches
Night,Mark Greenwold,paintings,Watercolor On Paper,20th century,71.25,Square inches
"The Grand Canal, Venice, with gondolas and a barge, on the right a bridge",Jacopo Marieschi,paintings,Oil On Canvas,Other,476.0,Square inches
Bronze Nude,C. Noel,sculpture,Bronze,Other,225.0,Cubic inches
1951 Yankees World Series Ring,,rings,Gold,20th century,,
The Vaudevillians,Bill Mack,sculpture,Bronze,20th century,864.0,Square inches
Pre-Columbian Standing Human Figure,Olmec,figurine,Jade,Other,66.142,Square inches
Hopi Vessel,Unknown,ornamental-ceramic-wares,Ceramic,20th century,37.429,Square inches
Old Man,Munoz,drawing-watercolour,Pencil On Paper,20th century,379.5,Square inches
Faith,Frederick Hart,sculpture,Acrylic,20th century,25.0,Inches
Untitled Chinese Buddhist Scroll,Hua Li; China,other-arts-and-antiques,Paper,20th century,3468.0,Square inches
Brook Cup Handicap Steeplechase Trophy 1914,Howard and Company,other-collectibles,Gold,20th century,198.0,Cubic inches
"A Statement of the Manager's Acc'ts, 1807",Samuel Blodget,other-arts-and-antiques,Paper,19th century,16.5,Cubic inches
Untitled Philip Paval Abstract Painting,Philip Paval,paintings,Oil On Board,19th century,720.0,Square inches
NYC - Central Park Looking East in the Snow,Arbit Blatas,paintings,Oil On Canvas,20th century,,
Racing at Sunset,John Henry Rouson,paintings,Oil On Canvas,19th century,1333.0,Square inches
Study of Half Length Figures with Axe,Jose Clemente Orozco,drawing-watercolour,Pencil On Paper,Other,225.25,Square inches
Faberge Pill Box with White Chinoiserie Enameling,Faberge; Henrik Immanuel Wigstrom,other-arts-and-antiques,Gold; Silver; Enamel; Diamonds,Other,1.571,Square inches
Camille Reading,Max Moran,paintings,Oil On Canvas,20th century,576.0,Square inches
Naked Primate Man | Spanish Valendese,,paintings,Oil On Canvas,17th century,1408.0,Square inches
